author                               ,area_of_interest        ,categories                                                                                     ,tags                                                                                                                                                                               ,title                                                                                                                     ,sub_title                                                                                                                 ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,date_published      ,link
1 Dec 2016                           ,climate-governance      ,global-markets                                                                                 ,clean-development-mechanism                                                                                                                                                        ,EU fuel quality rules too weak to change oil industry practices; now governments must act                                 ,EU fuel quality rules too weak to change oil industry practices; now governments must act                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/12/01/press-statement-eu-fuel-quality-rules-too-weak-to-change-oil-industry-practices-now-governments-need-to-act/
Kelsey Perlman                       ,carbon-pricing          ,"global-markets,aviation"                                                                      ,"emissions-from-international-aviation,international-civil-aviation-organisation,united-nations-framework-convention-for-climate-change"                                           ,More work needed to make aviation’s climate tool fit for purpose                                                          ,More work needed to make aviation’s climate tool fit for purpose                                                          ,By Kelsey Perlman                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2016-12-01 00:00:00 ,https://carbonmarketwatch.org/2016/12/01/more-work-needed-to-make-aviations-climate-tool-fit-for-purpose/
30 Nov 2016                          ,                        ,                                                                                               ,                                                                                                                                                                                   ,Overview of Carbon Market Watch’s activities at COP22                                                                     ,Overview of Carbon Market Watch’s activities at COP22                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/11/30/overview-of-carbon-market-watchs-activities-at-cop22/
Kelsey Perlman                       ,carbon-pricing          ,"eu-carbon-market,aviation"                                                                    ,emissions-from-international-aviation                                                                                                                                              ,Europe must not backslide on aviation’s climate responsibility                                                            ,Europe must not backslide on aviation’s climate responsibility                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2017/03/22/europe-must-not-backslide-on-aviations-climate-responsibility/
Kelsey Perlman                       ,climate-governance      ,land-use-and-forestry                                                                          ,"united-nations-framework-convention-for-climate-change,land-use-land-use-change-and-forestry"                                                                                     ,Forests must not be used to undermine climate commitments                                                                 ,Forests must not be used to undermine climate commitments                                                                 ,By Kelsey Perlman                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2016-12-01 00:00:00 ,https://carbonmarketwatch.org/2016/12/01/forests-must-not-be-used-to-undermine-climate-commitments/
15 Dec 2016                          ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-climate-policy,carbon-markets,eu-emissions-trading-system"                                                                                                                     ,Europe’s emissions trading system lives to fight another day                                                              ,Europe’s emissions trading system lives to fight another day                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/12/15/press-statement-europes-emissions-trading-system-lives-to-fight-another-day/
Urska Trunk                          ,carbon-pricing          ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Civil society participation in (I)NDCs: building on the legacy of NAMAs                                                   ,Civil society participation in (I)NDCs: building on the legacy of NAMAs                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/12/16/civil-society-participation-in-indcs-building-on-the-legacy-of-namas/
Pierre-Jean Brasier                  ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,Will carbon markets be part of the climate change solution?                                                               ,Will carbon markets be part of the climate change solution?                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/12/16/will-carbon-markets-be-part-of-the-climate-change-solution-2/
28 Mar 2017                          ,climate-governance      ,effort-sharing-regulation                                                                      ,eu-climate-policy                                                                                                                                                                  ,Just three EU countries step up to the plate for Paris climate deal – ranking                                             ,Just three EU countries step up to the plate for Paris climate deal – ranking                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2017/03/28/press-statement-just-three-eu-countries-step-up-to-the-plate-for-paris-climate-deal-ranking/
16 Dec 2016                          ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,WATCH THIS! NGO Voices on Climate Finance & Carbon Markets #17 December 2016                                              ,WATCH THIS! NGO Voices on Climate Finance & Carbon Markets #17 December 2016                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/12/16/watch-this-ngo-voices-on-climate-finance-carbon-markets-17-december-2016/
Juliane Voigt                        ,fair-climate-action     ,"human-rights,sustainable-development,global-markets"                                          ,                                                                                                                                                                                   ,Still no closure for UN offsetting scheme review                                                                          ,Still no closure for UN offsetting scheme review                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/12/16/still-no-closure-for-un-offsetting-scheme-review-2/
13 Oct 2016                          ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-climate-policy,eu-2030-climate-and-energy-framework,eu-emissions-trading-system"                                                                                               ,EU lawmakers fail to fix Europe’s broken carbon market                                                                    ,EU lawmakers fail to fix Europe’s broken carbon market                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/10/13/press-statement-eu-lawmakers-fail-to-fix-europes-broken-carbon-market/
14 Oct 2016                          ,                        ,2050-climate-strategies                                                                        ,"eu-climate-policy,eu-2030-climate-and-energy-framework,land-use-land-use-change-and-forestry"                                                                                     ,NGOs tell environment ministers to beef up effort sharing ambition                                                        ,NGOs tell environment ministers to beef up effort sharing ambition                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/10/14/ngos-tell-environment-ministers-to-beef-up-effort-sharing-ambition/
Juliane Voigt                        ,carbon-pricing          ,global-markets                                                                                 ,united-nations-framework-convention-for-climate-change                                                                                                                             ,Carbon markets under the Paris Agreement – how to guarantee effective climate action?                                     ,Carbon markets under the Paris Agreement – how to guarantee effective climate action?                                     ,By Juliane Voigt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,2016-10-19 00:00:00 ,https://carbonmarketwatch.org/2016/10/19/carbon-markets-under-the-paris-agreement-how-to-guarantee-effective-climate-action/
Agnes Brandt                         ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-climate-policy,eu-2030-climate-and-energy-framework,eu-emissions-trading-system"                                                                                               ,New report underlines the risks for Europe’s bloated carbon market                                                        ,New report underlines the risks for Europe’s bloated carbon market                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/10/19/new-report-underlines-the-risks-for-europes-bloated-carbon-market/
4 Nov 2016                           ,climate-governance      ,"human-rights,sustainable-development,global-markets,climate-finance"                          ,"international-climate-negotiations-unfccc,cop22"                                                                                                                                  ,Carbon Market Watch at COP22 in Marrakech                                                                                 ,Carbon Market Watch at COP22 in Marrakech                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/11/04/cop22/
7 Nov 2016                           ,carbon-pricing          ,eu-carbon-market                                                                               ,carbon-leakage                                                                                                                                                                     ,Media advisory: EU climate policy should not be the scapegoat for oversupplied steel market                               ,Media advisory: EU climate policy should not be the scapegoat for oversupplied steel market                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/11/07/media-advisory-eu-climate-policy-should-not-be-the-scapegoat-for-oversupplied-steel-market/
Carbon Market Watch                  ,international-transport ,aviation                                                                                       ,                                                                                                                                                                                   ,Aviation Storify                                                                                                          ,Aviation Storify                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/10/25/aviation-storify/
10 Nov 2016                          ,fair-climate-action     ,"human-rights,sustainable-development,global-markets"                                          ,                                                                                                                                                                                   ,"In landmark decision, Panama withdraws UN registration for Barro Blanco hydrodam project"                                ,"In landmark decision, Panama withdraws UN registration for Barro Blanco hydrodam project"                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/11/10/press-statement-in-landmark-decision-panama-withdraws-un-registration-for-barro-blanco-hydrodam-project/
25 Nov 2016                          ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Test post for Jos Plug                                                                                                    ,Test post for Jos Plug                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/11/25/test-post-for-jos-plug/
30 Nov 2016                          ,carbon-pricing          ,eu-carbon-market                                                                               ,carbon-leakage                                                                                                                                                                     ,Cement industry made €5 billion in pollution windfall from EU’s carbon market                                             ,Cement industry made €5 billion in pollution windfall from EU’s carbon market                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/11/30/press-statement-cement-industry-made-e5-billion-in-pollution-windfall-from-eus-carbon-market/
21 Sep 2016                          ,                        ,2050-climate-strategies                                                                        ,"eu-effort-sharing-decision,eu-climate-policy"                                                                                                                                     ,Effort sharing on the agenda                                                                                              ,Effort sharing on the agenda                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/21/effort-sharing-on-the-agenda/
21 Sep 2016                          ,carbon-pricing          ,"human-rights,sustainable-development,global-markets"                                          ,"clean-development-mechanism,panama"                                                                                                                                               ,Barro Blanco: communities flooded despite rejected agreement – NGOs ask for withdrawal of CDM’s registration              ,Barro Blanco: communities flooded despite rejected agreement – NGOs ask for withdrawal of CDM’s registration              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/21/barro-blanco-communities-flooded-despite-rejected-agreement-ngos-ask-for-withdrawal-of-cdms-registration/
Kelsey Perlman                       ,international-transport ,aviation                                                                                       ,"emissions-from-international-aviation,international-civil-aviation-organisation"                                                                                                  ,Can a robust aviation climate deal take off?                                                                              ,Can a robust aviation climate deal take off?                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/22/can-a-robust-aviation-climate-deal-take-off/
23 Sep 2016                          ,international-transport ,aviation                                                                                       ,emissions-from-international-aviation                                                                                                                                              ,Aviation campaign: join our last call before the ICAO Assembly                                                            ,Aviation campaign: join our last call before the ICAO Assembly                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/23/aviation-campaign-join-our-last-call-before-the-icao-assembly/
23 Sep 2016                          ,climate-governance      ,"human-rights,land-use-and-forestry,sustainable-development"                                   ,clean-development-mechanism                                                                                                                                                        ,ENGOs and scientists challenge the Swedish Energy Agency – ‘Stop supporting false climate change solutions in Uganda’     ,ENGOs and scientists challenge the Swedish Energy Agency – ‘Stop supporting false climate change solutions in Uganda’     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/23/engos-and-scientists-challenge-the-swedish-energy-agency-stop-supporting-false-climate-change-solutions-in-uganda/
"Juliane Voigt, Aki Kachi"           ,fair-climate-action     ,"human-rights,global-markets"                                                                  ,                                                                                                                                                                                   ,Carbon markets in the Paris Agreement: what’s next on the negotiation agenda?                                             ,Carbon markets in the Paris Agreement: what’s next on the negotiation agenda?                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/23/carbon-markets-in-the-paris-agreement-whats-next-on-the-negotiation-agenda-2/
23 Sep 2016                          ,                        ,                                                                                               ,                                                                                                                                                                                   ,WATCH THIS! NGO Voices on Climate Finance & Carbon Markets #16 September 2016                                             ,WATCH THIS! NGO Voices on Climate Finance & Carbon Markets #16 September 2016                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/23/watch-this-ngo-voices-on-climate-finance-carbon-markets-16-september-2016/
28 Sep 2016                          ,international-transport ,aviation                                                                                       ,"emissions-from-international-aviation,international-civil-aviation-organisation,global-market-based-measure"                                                                      ,ICSA Calls for Environmental Integrity and Broad Participation On International Efforts to Offset Aviation Pollution      ,ICSA Calls for Environmental Integrity and Broad Participation On International Efforts to Offset Aviation Pollution      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/09/28/icsa-calls-for-environmental-integrity-and-broad-participation-on-international-efforts-to-offset-aviation-pollution/
Urska Trunk                          ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-climate-policy,eu-2030-climate-and-energy-framework,eu-emissions-trading-system"                                                                                               ,Civil society urges lawmakers to end coal subsidies from the EU’s carbon market                                           ,Civil society urges lawmakers to end coal subsidies from the EU’s carbon market                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/10/04/civil-society-urges-lawmakers-to-end-coal-subsidies-from-the-eus-carbon-market/
6 Oct 2016                           ,international-transport ,aviation                                                                                       ,"emissions-from-international-aviation,international-civil-aviation-organisation,eu-emissions-trading-system"                                                                      ,Global aviation climate measure an uncertain first step                                                                   ,Global aviation climate measure an uncertain first step                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/10/06/press-statement-global-aviation-climate-measure-an-uncertain-first-step/
8 Jul 2016                           ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-climate-policy,carbon-markets,eu-emissions-trading-system"                                                                                                                     ,Debunking steel myths on the EU’s carbon market                                                                           ,Debunking steel myths on the EU’s carbon market                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/07/08/debunking-steel-myths-on-the-eus-carbon-market/
12 Jul 2016                          ,international-transport ,"land-use-and-forestry,global-markets,aviation"                                                ,                                                                                                                                                                                   ,TAKE ACTION!  #Aviation Tweetathon – 28 days                                                                              ,TAKE ACTION!  #Aviation Tweetathon – 28 days                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/07/12/aviation_tweetathon/
14 Jul 2016                          ,fair-climate-action     ,"human-rights,sustainable-development,global-markets"                                          ,"clean-development-mechanism,human-rights-in-climate-action"                                                                                                                       ,Carbon markets in the Paris Agreement: what’s next on the negotiation agenda?                                             ,Carbon markets in the Paris Agreement: what’s next on the negotiation agenda?                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/07/14/carbon-markets-in-the-paris-agreement-whats-next-on-the-negotiation-agenda/
14 Jul 2016                          ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-climate-policy,eu-emissions-trading-system"                                                                                                                                    ,Sweden and France – the new European climate leaders?                                                                     ,Sweden and France – the new European climate leaders?                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/07/14/sweden-and-france-the-new-european-climate-leaders/
